Merk;Type;Omschrijving;Component code;prijs verkoop;Artikelnummer Eriks;Artikelnummer TU;Co2 eq kg;Gewicht [kg];Gietijzer;Metalen;Fossiele materialen;Aluminium;Staal;RVS;Koper;Brons;Keramiek;Rubber;polymeren en compositen;Injectie gevormde magneet;elektra;
Tour & Anderson;Ta-Modulator DN20;2-wegklep + TA-TRI H actuator;RA-01-20-AL; € 555,45 ;n.v.t.;9708499;3,1;1,3;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN25;2-wegklep + TA-TRI H actuator;RA-01-25-LX; € 603,75 ;n.v.t.;9708506;3,1;1,8;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN32;2-wegklep + TA-TRI H actuator;RA-01-32-LX; € 742,61 ;n.v.t.;9708513;3,1;2,5;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN40;2-wegklep + TA-Slider 500 actuator;RA-01-40-LX; € 1.213,54 ;n.v.t.;6187487;3,1;3,5;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Tour & Anderson;Ta-Modulator DN50;2-wegklep + TA-Slider 500 actuator;RA-01-50-LX; € 1.545,60 ;n.v.t.;6426810;3,1;5;8,00%;18,00%;0,00%;0,00%;0,00%;8,00%;0,00%;59,90%;0,00%;1,00%;5,00%;0,10%;0,00%;
Eriks;Fig 1602 DN15;kogel afsluiter (standaard);AF01-15-ST; € 175,00 ;12439117;n.v.t.;5;0,17;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1602 DN20;kogel afsluiter (standaard);AF01-20-ST; € 182,00 ;12439118;n.v.t.;5;0,28;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1602 DN25;kogel afsluiter (standaard);AF01-25-ST; € 192,00 ;12439119;n.v.t.;5;0,42;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1602 DN32;kogel afsluiter (standaard);AF01-32-ST; € 220,00 ;12439121;n.v.t.;5;0,74;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1602 DN40;kogel afsluiter (standaard);AF01-40-ST; € 245,00 ;12439122;n.v.t.;5;1,04;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1602 DN50;kogel afsluiter (standaard);AF01-50-ST; € 290,00 ;12439123;n.v.t.;5;1,67;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1607 DN15;kogel afsluiter (luxe);AF01-15-LX; € 180,00 ;12426343;n.v.t.;5;0,24;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1607 DN20;kogel afsluiter (luxe);AF01-20-LX; € 190,00 ;12439132;n.v.t.;5;0,39;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1607 DN25;kogel afsluiter (luxe);AF01-25-LX; € 200,00 ;12439133;n.v.t.;5;0,6;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1607 DN32;kogel afsluiter (luxe);AF01-32-LX; € 235,00 ;12439134;n.v.t.;5;0,99;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1607 DN40;kogel afsluiter (luxe);AF01-40-LX; € 265,00 ;12439135;n.v.t.;5;1,52;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;Fig 1607 DN50;kogel afsluiter (luxe);AF01-50-LX; € 340,00 ;12439136;n.v.t.;5;2,49;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%;
Eriks;661 Kast 63 schaal 0-60°C;Thermometer (standaard);TI01-ST; € 130,00 ;11811530;n.v.t.;5,4;0,12;0,00%;70,00%;0,00%;25,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%;
Eriks;661 Kast 63 schaal 0-60°C;Thermometer (luxe);TI01-LX; € 130,00 ;11811530;n.v.t.;5,4;0,12;0,00%;70,00%;0,00%;25,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%;
Eriks;661 Kast 63 schaal 0-60°C;Thermometer (alternatief);TI01-AL; € 130,00 ;11811530;n.v.t.;5,4;0,12;0,00%;70,00%;0,00%;25,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%;
Siemens;QAE2120.010;Temperatuur transmitter (standaard);TT01-ST; € 141,20 ;n.v.t.;8915142;5;0,1;0,00%;65,00%;0,00%;0,00%;0,00%;0,00%;10,00%;0,00%;0,00%;0,00%;20,00%;0,00%;5,00%;
